Entity,Year,"Wind Generation - TWh","Solar Generation - TWh","Geo Biomass Other - TWh","Hydro Generation - TWh"
Canada,1965,0,0,0,118.088
Mexico,1965,0,0,0,8.863
"United States",1965,0,0,13.3322321,198.9740859
Canada,1966,0,0,0,131
Mexico,1966,0,0,0,10.118
"United States",1966,0,0,14.0620069,199.9369071
Canada,1967,0,0,0,133.924
Mexico,1967,0,0,0,11.017
"United States",1967,0,0,14.07357074,227.2208131
Canada,1968,0,0,0,136.2
Mexico,1968,0,0,0,12.642
"United States",1968,0,0,15.5460451,228.1547051
Canada,1969,0,0,0,150.638
Mexico,1969,0,0,0,13.406
"United States",1969,0,0,16.22706038,256.0285222
Canada,1970,0,0,0,158.137
Mexico,1970,0,0,0,15.005
"United States",1970,0,0,16.23590253,253.4923657
Canada,1971,0,0,0,162.461
Mexico,1971,0,0,0,14.572
"United States",1971,0,0,16.58441397,272.253999
Canada,1972,0,0,0,181.639
Mexico,1972,0,0,0,15.531
"United States",1972,0,0,18.67297844,278.7159879
Canada,1973,0,0,0,194.654
Mexico,1973,0,0,0.161,16.371
"United States",1973,0,0,19.98969177,278.212701
Canada,1974,0,0,0,210.667
Mexico,1974,0,0,0.463,16.708
"United States",1974,0,0,20.40426481,307.2846515
Canada,1975,0,0,0,202.47
Mexico,1975,0,0,0.518,15.182
"United States",1975,0,0,19.75430196,306.2148212
Canada,1976,0,0,0.707,212.689
Mexico,1976,0,0,0.579,17.255
"United States",1976,0,0,22.56475354,289.8224626
Canada,1977,0,0,1.069,220.147
Mexico,1977,0,0,0.592,19.193
"United States",1977,0,0,23.53612186,225.8572596
Canada,1978,0,0,1.132,235.254
Mexico,1978,0,0,0.598,16.217
"United States",1978,0,0,24.67878666,286.3285091
Canada,1979,0,0,1.345,244.121
Mexico,1979,0,0,1.019,18.008
"United States",1979,0,0,25.75603724,285.9353293
Canada,1980,0,0,1.3,251.148
Mexico,1980,0,0,0.915,16.91
"United States",1980,0,0,26.65611632,282.0021111
Canada,1981,0,0,1.898,266.015
Mexico,1981,0,0,0.964,24.618
"United States",1981,0,0,27.37760327,266.5097616
Canada,1982,0,0,2.139,257.795
Mexico,1982,0,0,1.296,22.924
"United States",1982,0,0,26.40504895,315.5293061
Canada,1983,0,0,2.085,265.952
Mexico,1983,0,0,1.353,20.733
"United States",1983,0.002694949,0.003,29.80459916,338.6776313
Canada,1984,0,0,2.337,286.123
Mexico,1984,0,0,1.424,23.603
"United States",1984,0.006555556,0.00530101,35.59532614,327.5872374
Canada,1985,0.001,0,1.677,303.645
Mexico,1985,0,0,1.641,28.42729167
"United States",1985,0.005820202,0.010737374,36.39289442,287.1823616
Canada,1986,0.001,0,1.865,310.635
Mexico,1986,0,0,3.394,21.2975
"United States",1986,0.004231313,0.014173737,38.7016722,296.9749687
Canada,1987,0.001,0,2.312,316.206
Mexico,1987,0,0,4.418,19.28519444
"United States",1987,0.003576768,0.01060303,42.66543318,255.4101949
Canada,1988,0.001,0,2.485,307.435
Mexico,1988,0,0,4.633,21.83611111
"United States",1988,0.000879798,0.009185859,42.39406126,228.3846495
Canada,1989,0.001,0,3.477,290.4497444
Mexico,1989,0,0,4.675,25.35419444
"United States",1989,2.133376768,0.253132323,48.85426789,274.7241778
Canada,1990,0.001919192,0,3.954,295.6833232
Mexico,1990,0.001,0.001,5.124,24.48094444
"United States",1990,2.816767677,0.370794949,57.45931526,292.2809141
Canada,1991,0.001919192,0,3.984,307.2759919
Mexico,1991,0.001,0.002,5.832512475,22.62526389
"United States",1991,2.980758586,0.478252873,60.55176316,287.3260141
Canada,1992,0.059,0.002052632,4.465,315.1746545
Mexico,1992,0.001,0.003,6.365522981,26.81369444
"United States",1992,2.916689899,0.408844477,64.81541211,251.4256778
Canada,1993,0.059,0.002052632,4.817,322.213898
Mexico,1993,0.001,0.004,6.49976067,26.65493056
"United States",1993,3.036188889,0.475161892,66.92472368,279.2509455
Canada,1994,0.059,0.002052632,5.733,327.8555808
Mexico,1994,0.005,0.005,6.2185254,20.27131944
"United States",1994,3.481928283,0.501872793,66.35485737,259.3413212
Canada,1995,0.059,0.003842105,7.137865803,334.0597343
Mexico,1995,0.007,0.005,6.414443481,27.59866667
"United States",1995,3.196215152,0.514471573,63.26507947,311.2198152
Canada,1996,0.062,0.005894737,7.5285148,354.5920747
Mexico,1996,0.006,0.006,6.184555154,31.33627778
"United States",1996,3.266736364,0.541341217,64.82596,347.5494798
Canada,1997,0.062,0.006947368,8.16821952,348.6796212
Mexico,1997,0.012,0.006,5.883246225,26.36209722
"United States",1997,3.321247475,0.532695728,65.82008368,355.9731212
Canada,1998,0.062,0.010105263,8.987253723,330.8699253
Mexico,1998,0.015,0.007,6.138586032,24.59294444
"United States",1998,3.056258586,0.524659346,65.61712579,322.0892737
Canada,1999,0.162,0.013263158,8.943148172,345.0007828
Mexico,1999,0.017,0.007,6.060001313,32.71232
"United States",1999,4.533331313,0.51834207,66.47772053,316.6051818
Canada,2000,0.264,0.016421053,8.917042302,356.7600778
Mexico,2000,0.019,0.007,6.358645108,33.07488
"United States",2000,5.649758586,0.518512654,66.58282211,272.7613505
Canada,2001,0.329,0.019578947,9.672149201,331.5210293
Mexico,2001,0.018,0.008,6.247497045,28.43533
"United States",2001,6.805384848,0.574351055,66.83043579,210.24
Canada,2002,0.405,0.022736842,10.04610406,349.2746394
Mexico,2002,0.021,0.008,6.071060368,24.86159
"United States",2002,10.45886869,0.601597598,71.78935684,258.1675788
Canada,2003,0.69,0.022789474,9.417294047,336.1393646
Mexico,2003,0.019,0.008,6.949712539,19.852205
"United States",2003,11.30047071,0.610654318,71.33214,269.9709677
Canada,2004,0.945,0.014263158,9.804526316,338.3983606
Mexico,2004,0.02,0.009,7.261834336,25.17639361
"United States",2004,14.28660707,0.698132438,71.94537263,262.5546444
Canada,2005,1.552,0.018473684,9.154255789,361.9557495
Mexico,2005,0.019,0.009,8.13751914,27.70944556
"United States",2005,17.99045354,0.748900634,72.59806,266.4277444
Canada,2006,2.448,0.022684211,8.937625263,352.8872859
Mexico,2006,0.045,0.01,7.48738685,30.44647472
"United States",2006,26.85771414,0.824432129,73.08227053,285.5440141
Canada,2007,2.977206,0.028947368,8.990656842,367.6214596
Mexico,2007,0.248,0.009,8.249912841,27.33967417
"United States",2007,34.79790606,1.095410499,73.86955053,243.0440626
Canada,2008,3.788514141,0.035,7.978966316,377.4877303
Mexico,2008,0.255,0.019,7.896158096,39.22390917
"United States",2008,55.92232323,1.633062564,73.55147368,251.0538616
Canada,2009,6.641651515,0.109,8.942056842,368.6874051
Mexico,2009,0.596352778,0.027,7.547069263,26.72200556
"United States",2009,74.63245657,2.075960394,73.15986105,271.5330798
Canada,2010,8.724191919,0.255,10.29755789,351.384803
Mexico,2010,1.239111111,0.031,7.446049653,37.15799056
"United States",2010,95.60832929,3.013036421,75.06184632,257.2746838
Canada,2011,10.18857374,0.572,10.21378421,375.7237242
Mexico,2011,1.648321389,0.041,7.366924462,36.27041917
"United States",2011,121.390504,4.738904128,75.77515895,316.0953414
Canada,2012,11.31148788,0.881,10.91381895,380.2671364
Mexico,2012,3.688310278,0.069,6.760935214,31.91068806
"United States",2012,142.2441444,9.037013756,77.03610211,274.0300273
Canada,2013,11.14544343,1.499,11.03561053,391.7888717
Mexico,2013,4.184543889,0.106,7.322260778,28.02132194
"United States",2013,169.535096,16.03969548,80.66553158,266.5498485
Canada,2014,12.8170697,2.12,9.795245263,382.5013788
Mexico,2014,6.426196667,0.221,7.136634289,38.89276889
"United States",2014,183.4901838,29.21616162,84.07022947,255.7505798
Canada,2015,26.96639091,2.895,9.987178947,382.1932566
Mexico,2015,8.745094722,0.2021975,7.63215399,30.89154056
"United States",2015,192.644998,39.42626263,83.73626526,246.4531283
Canada,2016,30.93311717,4.032322222,11.35952316,385.4324253
