Entity,Year,"Wind Generation - TWh","Solar Generation - TWh","Geo Biomass Other - TWh","Hydro Generation - TWh"
Mexico,1965,0,0,0,8.863
Mexico,1966,0,0,0,10.118
Mexico,1967,0,0,0,11.017
Mexico,1968,0,0,0,12.642
Mexico,1969,0,0,0,13.406
Mexico,1970,0,0,0,15.005
Mexico,1971,0,0,0,14.572
Mexico,1972,0,0,0,15.531
Mexico,1973,0,0,0.161,16.371
Mexico,1974,0,0,0.463,16.708
Mexico,1975,0,0,0.518,15.182
Mexico,1976,0,0,0.579,17.255
Mexico,1977,0,0,0.592,19.193
Mexico,1978,0,0,0.598,16.217
Mexico,1979,0,0,1.019,18.008
Mexico,1980,0,0,0.915,16.91
Mexico,1981,0,0,0.964,24.618
Mexico,1982,0,0,1.296,22.924
Mexico,1983,0,0,1.353,20.733
Mexico,1984,0,0,1.424,23.603
Mexico,1985,0,0,1.641,28.42729167
Mexico,1986,0,0,3.394,21.2975
Mexico,1987,0,0,4.418,19.28519444
Mexico,1988,0,0,4.633,21.83611111
Mexico,1989,0,0,4.675,25.35419444
Mexico,1990,0.001,0.001,5.124,24.48094444
Mexico,1991,0.001,0.002,5.832512475,22.62526389
Mexico,1992,0.001,0.003,6.365522981,26.81369444
Mexico,1993,0.001,0.004,6.49976067,26.65493056
Mexico,1994,0.005,0.005,6.2185254,20.27131944
Mexico,1995,0.007,0.005,6.414443481,27.59866667
Mexico,1996,0.006,0.006,6.184555154,31.33627778
Mexico,1997,0.012,0.006,5.883246225,26.36209722
Mexico,1998,0.015,0.007,6.138586032,24.59294444
Mexico,1999,0.017,0.007,6.060001313,32.71232
Mexico,2000,0.019,0.007,6.358645108,33.07488
Mexico,2001,0.018,0.008,6.247497045,28.43533
Mexico,2002,0.021,0.008,6.071060368,24.86159
Mexico,2003,0.019,0.008,6.949712539,19.852205
Mexico,2004,0.02,0.009,7.261834336,25.17639361
Mexico,2005,0.019,0.009,8.13751914,27.70944556
Mexico,2006,0.045,0.01,7.48738685,30.44647472
Mexico,2007,0.248,0.009,8.249912841,27.33967417
Mexico,2008,0.255,0.019,7.896158096,39.22390917
Mexico,2009,0.596352778,0.027,7.547069263,26.72200556
Mexico,2010,1.239111111,0.031,7.446049653,37.15799056
Mexico,2011,1.648321389,0.041,7.366924462,36.27041917
Mexico,2012,3.688310278,0.069,6.760935214,31.91068806
Mexico,2013,4.184543889,0.106,7.322260778,28.02132194
Mexico,2014,6.426196667,0.221,7.136634289,38.89276889
Mexico,2015,8.745094722,0.2021975,7.63215399,30.89154056
Mexico,2016,10.37809472,0.143789167,7.609291411,30.69735306
Mexico,2017,10.61978167,1.185388334,8.123817313,31.84765583
Mexico,2018,13.08861111,3.18,9.63403574,32.48555556
Mexico,2019,16.72666668,7.366388895,8.225945146,23.60805557
Mexico,2020,19.70681841,11.87352963,7.59609979,26.83687235
