Entity,Year,"Electricity from wind (TWh)","Electricity from hydro (TWh)","Electricity from solar (TWh)","Electricity from other renewables including bioenergy (TWh)"
Afghanistan,2020,0,0.62,0.04,0
Africa,2020,17,139.46,8.33,9.89
Albania,2020,0,5.28,0.03,0
Algeria,2020,0.01,0.09,0.68,0
"American Samoa",2020,0,0,0,0
Angola,2020,0,10.08,0.02,0.25
"Antigua and Barbuda",2020,0,0,0.01,0
Argentina,2020,9.41,24.26,1.35,0.43
Armenia,2020,0,1.78,0.02,0
Aruba,2020,0.14,0,0.01,0
Asia,2020,578.57,1958.06,463.45,306.48
"Asia Pacific",2020,572.636,1847.216,470.298,279.073
Australia,2020,20.4,15.15,21.03,3.12
Austria,2020,6.79,42,2.04,4.59
Azerbaijan,2020,0.1,1.07,0.05,0
Bahamas,2020,0,0,0,0
Bahrain,2020,0,0,0.01,0
Bangladesh,2020,0.01,0.61,0.42,0.03
Barbados,2020,0,0,0.04,0
Belarus,2020,0.19,0.39,0.17,0.51
Belgium,2020,12.76,0.27,5.11,5.27
Belize,2020,0,0.08,0,0.17
Benin,2020,0,0,0.01,0
Bhutan,2020,0,8.95,0,0
Bolivia,2020,0.06,2.94,0.25,0.51
"Bosnia and Herzegovina",2020,0.26,6.1,0.05,0.02
Botswana,2020,0,0,0,0
Brazil,2020,57.05,409.5,10.75,50.92
"British Virgin Islands",2020,0,0,0,0
Brunei,2020,0,0,0,0
Bulgaria,2020,1.48,2.82,1.48,1.7
"Burkina Faso",2020,0,0.11,0.05,0
Burundi,2020,0,0.22,0.01,0.01
CIS,2020,2.599,265.587,4.754,0.76
Cambodia,2020,0,3.49,0.09,0.34
Cameroon,2020,0,5.88,0.02,0
Canada,2020,36.1,383,4.28,10.25
"Cape Verde",2020,0.08,0,0.01,0
"Cayman Islands",2020,0,0,0.02,0
"Central African Republic",2020,0,0.15,0,0
Chad,2020,0.01,0,0,0
Chile,2020,5.52,20.79,7.62,1.77
China,2020,466.5,1322.01,261.1,135.524
Colombia,2020,0.06,45.82,0.19,1.28
Comoros,2020,0,0,0,0
Congo,2020,0,1.07,0,0.08
"Cook Islands",2020,0,0,0.01,0
"Costa Rica",2020,1.46,8.29,0.06,1.71
"Cote d'Ivoire",2020,0,2.31,0.02,0
Croatia,2020,1.72,5.66,0.1,1.07
Cuba,2020,0.02,0.06,0.25,2.6
Cyprus,2020,0.24,0,0.3,0.06
Czechia,2020,0.7,2.14,2.29,5.21
"Democratic Republic of Congo",2020,0,9.19,0.03,0
