Entity;Year;"Renewables (% sub energy)"
Mexico;1965;8.439
Mexico;1966;9.102
Mexico;1967;9.728
Mexico;1968;10.253
Mexico;1969;9.903
Mexico;1970;10.385
Mexico;1971;9.587
Mexico;1972;9.242
Mexico;1973;9.12
Mexico;1974;8.599
Mexico;1975;7.356
Mexico;1976;7.854
Mexico;1977;8.262
Mexico;1978;6.231
Mexico;1979;6.377
Mexico;1980;5.482
Mexico;1981;7.123
Mexico;1982;6.468
Mexico;1983;5.963
Mexico;1984;6.458
Mexico;1985;7.397
Mexico;1986;6.254
Mexico;1987;5.81
Mexico;1988;6.442
Mexico;1989;6.922
Mexico;1990;6.487
Mexico;1991;6.003
Mexico;1992;6.879
Mexico;1993;6.84
Mexico;1994;5.169
Mexico;1995;6.743
Mexico;1996;7.211
Mexico;1997;6.094
Mexico;1998;5.561
Mexico;1999;6.928
Mexico;2000;6.784
Mexico;2001;6.01
Mexico;2002;5.165
Mexico;2003;4.416
Mexico;2004;5.03
Mexico;2005;5.19
Mexico;2006;5.293
Mexico;2007;4.938
Mexico;2008;6.342
Mexico;2009;4.695
Mexico;2010;5.946
Mexico;2011;5.569
Mexico;2012;5.162
Mexico;2013;4.776
Mexico;2014;6.356
Mexico;2015;5.714
Mexico;2016;5.773
Mexico;2017;5.999
Mexico;2018;6.761
Mexico;2019;6.705
Mexico;2020;9.176
